mmns,score
0.999743077,0.868750524
0.999695185,0.845130411
0.999695185,0.845130411
0.997302351,0.478512466
0.999608235,0.810452035
0.999706658,0.850875196
0.995861069,0.401967245
0.991141152,0.285352295
0.991141152,0.285352295
0.999910546,0.964740556
0.99359174,0.330669606
0.979448282,0.182155822
0.997479645,0.491224077
0.999770013,0.883930176
0.999931496,0.976385877
0.984404809,0.217259516
0.997528768,0.49540537
0.999869615,0.943594474
0.996688345,0.441144404
0.999878473,0.948171134
0.997490813,0.492428145
0.997490813,0.492428145
0.992137612,0.301484419
0.999814934,0.909988379
0.999276238,0.713695233
0.969427636,0.131668803
0.999850822,0.932476308
0.948365489,0.070698599
0.968929629,0.12963207
0.997845685,0.520493129
0.999484173,0.767872333
0.99929528,0.718140103
0.992741586,0.312626547
0.999746548,0.870619526
0.997454454,0.489223286
0.999678692,0.837582518
0.999678692,0.837582518
0.999880847,0.949471048
0.996235945,0.41842884
0.99902303,0.661087615
0.997835655,0.51959457
0.999837236,0.923694394
0.947479788,0.06887752
0.999785645,0.892819917
0.999606345,0.809649322
0.996261298,0.419567015
0.999788216,0.894473265
0.970561945,0.136281405
0.999296814,0.718511508
0.999776592,0.887224891
0.999658077,0.828543017
0.998605684,0.600530749
0.998605684,0.600530749
0.934940309,0.046114033
0.998905175,0.641391209
0.999483034,0.767560832
0.999311585,0.721698396
0.989392705,0.262870356
0.999846872,0.929576959
0.999855083,0.935076138
0.996236204,0.418440821
0.973740601,0.15089796
0.998564708,0.595540753
0.997076056,0.463788084
0.98639247,0.233876862
0.998073583,0.541459499
0.979779845,0.184096709
0.998756518,0.619963578
0.998756518,0.619963578
0.998756518,0.619963578
0.998756518,0.619963578
0.995533522,0.389087903
0.994113437,0.343602861
0.994113437,0.343602861
0.934507785,0.045383205
0.99809291,0.543424347
0.987276087,0.240885619
0.999356994,0.733223909
0.999428553,0.75160243
0.995155619,0.37572933
0.998870668,0.635987875
0.997151481,0.468544455
0.998076531,0.541830903
0.981937268,0.198090263
0.994833691,0.365198222
0.999335064,0.72757497
0.998863855,0.634975499
0.999335064,0.72757497
0.998863855,0.634975499
0.997482554,0.491511615
0.998913645,0.642745037
0.98648904,0.234571747
0.998807406,0.627253885
0.996700316,0.441911174
0.998714868,0.614278697
0.995409694,0.384523225
0.998527814,0.590892209
0.997328169,0.480351516
0.997328169,0.480351516
0.999220665,0.700911738
0.99889306,0.639438341
0.981233267,0.193202104
0.980140538,0.186385038
0.99252135,0.308481196
0.999618286,0.814154097
0.999379446,0.738177963
0.999379446,0.738177963
